method,path,file,line
GET,/,server/api/routers/core.py,9
POST,/admin/unmask,server/api/routers/admin.py,14
GET,/ai/analysis/{path:path},server/api/routers/image_analysis.py,76
POST,/ai/analytics/patterns,server/api/routers/ai_insights.py,112
POST,/ai/analyze,server/api/routers/image_analysis.py,14
GET,/ai/insights,server/api/routers/ai_insights.py,56
POST,/ai/insights,server/api/routers/ai_insights.py,13
GET,/ai/insights/photo/{photo_path:path},server/api/routers/ai_insights.py,34
GET,/ai/insights/stats,server/api/routers/ai_insights.py,101
GET,/ai/insights/type/{insight_type},server/api/routers/ai_insights.py,45
DELETE,/ai/insights/{insight_id},server/api/routers/ai_insights.py,86
PUT,/ai/insights/{insight_id},server/api/routers/ai_insights.py,67
GET,/albums,server/api/routers/albums.py,33
POST,/albums,server/api/routers/albums.py,18
DELETE,/albums/{album_id},server/api/routers/albums.py,94
GET,/albums/{album_id},server/api/routers/albums.py,45
PUT,/albums/{album_id},server/api/routers/albums.py,76
DELETE,/albums/{album_id}/photos,server/api/routers/albums.py,131
POST,/albums/{album_id}/photos,server/api/routers/albums.py,112
POST,/albums/{album_id}/refresh,server/api/routers/albums.py,150
GET,/api/actions/detect-apps,server/api/routers/system.py,24
GET,/api/advanced/comprehensive-stats,server/main_advanced_features.py,313
POST,/api/advanced/scan-directory,server/main_advanced_features.py,197
GET,/api/advanced/status,server/main_advanced_features.py,147
GET,/api/cache/cleanup,server/api/routers/system.py,44
POST,/api/cache/clear,server/api/routers/system.py,37
GET,/api/cache/stats,server/api/routers/system.py,30
POST,/api/clusters/{cluster_id}/merge,server/api/routers/people_photo_association.py,383
GET,/api/clusters/{cluster_id}/quality,server/api/routers/people_photo_association.py,341
GET,/api/duplicates,server/api/routers/duplicates.py,15
POST,/api/duplicates/cleanup,server/api/routers/duplicates.py,90
POST,/api/duplicates/scan,server/api/routers/duplicates.py,26
GET,/api/duplicates/stats,server/api/routers/duplicates.py,79
DELETE,/api/duplicates/{group_id},server/api/routers/duplicates.py,68
POST,/api/duplicates/{group_id}/resolve,server/api/routers/duplicates.py,56
POST,/api/faces/cluster,server/api/routers/people_photo_association.py,246
GET,/api/faces/clusters,server/api/routers/face_recognition.py,23
GET,/api/faces/clusters/hidden,server/api/routers/face_recognition.py,1047
GET,/api/faces/clusters/visible,server/api/routers/face_recognition.py,1021
DELETE,/api/faces/clusters/{cluster_id},server/api/routers/face_recognition.py,377
POST,/api/faces/clusters/{cluster_id}/hide,server/api/routers/face_recognition.py,991
POST,/api/faces/clusters/{cluster_id}/label,server/api/routers/face_recognition.py,280
GET,/api/faces/clusters/{cluster_id}/photos,server/api/routers/face_recognition.py,402
POST,/api/faces/clusters/{cluster_id}/rename,server/api/routers/face_recognition.py,1224
POST,/api/faces/clusters/{cluster_id}/unhide,server/api/routers/face_recognition.py,1006
GET,/api/faces/crop/{face_id},server/api/routers/face_recognition.py,726
GET,/api/faces/low-confidence,server/api/routers/face_recognition.py,571
POST,/api/faces/merge,server/api/routers/face_recognition.py,1158
POST,/api/faces/move,server/api/routers/face_recognition.py,1137
GET,/api/faces/person/{person_name},server/api/routers/face_recognition.py,298
GET,/api/faces/photos-with-faces,server/api/routers/face_recognition.py,689
POST,/api/faces/prototypes/recompute,server/api/routers/face_recognition.py,1243
POST,/api/faces/scan,server/api/routers/face_recognition.py,62
POST,/api/faces/scan-async,server/api/routers/face_recognition.py,186
POST,/api/faces/scan-single,server/api/routers/face_recognition.py,256
GET,/api/faces/scan-status/{job_id},server/api/routers/face_recognition.py,245
GET,/api/faces/singletons,server/api/routers/face_recognition.py,521
POST,/api/faces/split,server/api/routers/face_recognition.py,1111
GET,/api/faces/stats,server/api/routers/face_recognition.py,779
GET,/api/faces/unassigned,server/api/routers/face_recognition.py,1199
POST,/api/faces/undo,server/api/routers/face_recognition.py,1184
GET,/api/faces/unidentified,server/api/routers/face_recognition.py,461
GET,/api/faces/{detection_id}/similar,server/api/routers/people_photo_association.py,294
GET,/api/faces/{detection_id}/thumbnail,server/api/routers/people_photo_association.py,192
POST,/api/faces/{face_id}/assign,server/api/routers/face_recognition.py,619
POST,/api/faces/{face_id}/confirm,server/api/routers/face_recognition.py,1073
POST,/api/faces/{face_id}/create-person,server/api/routers/face_recognition.py,652
POST,/api/faces/{face_id}/reject,server/api/routers/face_recognition.py,1092
GET,/api/intent/detect,server/api/routers/intent.py,9
GET,/api/logs/test,server/api/routers/system.py,51
GET,/api/notes/search,server/api/routers/notes.py,61
GET,/api/notes/stats,server/api/routers/notes.py,94
GET,/api/people/search,server/api/routers/face_recognition.py,846
GET,/api/people/{person_id}/analytics,server/api/routers/face_recognition.py,905
POST,/api/photos/batch/faces/detect,server/api/routers/people_photo_association.py,213
GET,/api/photos/{file_path:path}/edit,server/api/routers/photo_edits.py,11
POST,/api/photos/{file_path:path}/edit,server/api/routers/photo_edits.py,21
DELETE,/api/photos/{file_path:path}/edits,server/api/routers/edits.py,36
GET,/api/photos/{file_path:path}/edits,server/api/routers/edits.py,11
POST,/api/photos/{file_path:path}/edits,server/api/routers/edits.py,22
DELETE,/api/photos/{file_path:path}/notes,server/api/routers/notes.py,44
GET,/api/photos/{file_path:path}/notes,server/api/routers/notes.py,15
POST,/api/photos/{file_path:path}/notes,server/api/routers/notes.py,26
GET,/api/photos/{file_path:path}/rating,server/api/routers/ratings.py,13
POST,/api/photos/{file_path:path}/rating,server/api/routers/ratings.py,24
GET,/api/photos/{photo_path:path}/faces,server/api/routers/people_photo_association.py,148
POST,/api/photos/{photo_path:path}/faces/detect,server/api/routers/people_photo_association.py,103
GET,/api/photos/{photo_path:path}/people,server/api/routers/people_photo_association.py,16
POST,/api/photos/{photo_path:path}/people,server/api/routers/people_photo_association.py,30
DELETE,/api/photos/{photo_path:path}/people/{person_id},server/api/routers/people_photo_association.py,75
GET,/api/ratings/photos/{rating},server/api/routers/ratings.py,44
GET,/api/ratings/stats,server/api/routers/ratings.py,74
GET,/api/schema,server/api/routers/system.py,17
POST,/api/search/count,server/api/routers/semantic_search.py,19
POST,/bulk/action,server/api/routers/bulk_actions.py,13
GET,/bulk/can-undo/{action_id},server/api/routers/bulk_actions.py,73
POST,/bulk/delete,server/api/routers/bulk.py,53
POST,/bulk/export,server/api/routers/bulk.py,12
POST,/bulk/favorite,server/api/routers/bulk.py,100
GET,/bulk/history/{user_id},server/api/routers/bulk_actions.py,34
GET,/bulk/stats/{user_id},server/api/routers/bulk_actions.py,85
POST,/bulk/undo/{action_id},server/api/routers/bulk_actions.py,51
POST,/cache/clear,server/api/routers/cache.py,22
GET,/cache/health,server/api/routers/cache.py,34
GET,/cache/stats,server/api/routers/cache.py,10
GET,/code-splitting/api-endpoints,server/api/routers/code_splitting.py,180
GET,/code-splitting/chunk/{chunk_name},server/api/routers/code_splitting.py,27
POST,/code-splitting/chunk/{chunk_name},server/api/routers/code_splitting.py,49
GET,/code-splitting/config,server/api/routers/code_splitting.py,11
GET,/code-splitting/enabled,server/api/routers/code_splitting.py,69
POST,/code-splitting/enabled,server/api/routers/code_splitting.py,85
GET,/code-splitting/integration-guide,server/api/routers/code_splitting.py,163
GET,/code-splitting/performance,server/api/routers/code_splitting.py,128
POST,/code-splitting/performance,server/api/routers/code_splitting.py,104
GET,/code-splitting/performance/chunks,server/api/routers/code_splitting.py,147
POST,/collaborative/spaces,server/api/routers/collaborative_spaces.py,17
GET,/collaborative/spaces/user/{user_id},server/api/routers/collaborative_spaces.py,54
GET,/collaborative/spaces/{space_id},server/api/routers/collaborative_spaces.py,39
GET,/collaborative/spaces/{space_id}/members,server/api/routers/collaborative_spaces.py,101
POST,/collaborative/spaces/{space_id}/members,server/api/routers/collaborative_spaces.py,65
DELETE,/collaborative/spaces/{space_id}/members/{user_id},server/api/routers/collaborative_spaces.py,85
GET,/collaborative/spaces/{space_id}/photos,server/api/routers/collaborative_spaces.py,149
POST,/collaborative/spaces/{space_id}/photos,server/api/routers/collaborative_spaces.py,112
DELETE,/collaborative/spaces/{space_id}/photos/{photo_path:path},server/api/routers/collaborative_spaces.py,133
GET,/collaborative/spaces/{space_id}/photos/{photo_path:path}/comments,server/api/routers/collaborative_spaces.py,186
POST,/collaborative/spaces/{space_id}/photos/{photo_path:path}/comments,server/api/routers/collaborative_spaces.py,160
GET,/collaborative/spaces/{space_id}/stats,server/api/routers/collaborative_spaces.py,197
GET,/collections/smart,server/api/routers/smart_collections.py,36
POST,/collections/smart,server/api/routers/smart_collections.py,14
GET,/collections/smart/by-rule/{rule_type},server/api/routers/smart_collections.py,115
GET,/collections/smart/stats,server/api/routers/smart_collections.py,126
DELETE,/collections/smart/{collection_id},server/api/routers/smart_collections.py,86
GET,/collections/smart/{collection_id},server/api/routers/smart_collections.py,47
PUT,/collections/smart/{collection_id},server/api/routers/smart_collections.py,62
GET,/collections/smart/{collection_id}/photos,server/api/routers/smart_collections.py,101
GET,/dialogs/active,server/api/routers/dialogs.py,43
POST,/dialogs/confirmation,server/api/routers/dialogs.py,105
POST,/dialogs/create,server/api/routers/dialogs.py,23
POST,/dialogs/error,server/api/routers/dialogs.py,126
GET,/dialogs/history,server/api/routers/dialogs.py,213
POST,/dialogs/input,server/api/routers/dialogs.py,196
POST,/dialogs/progress,server/api/routers/dialogs.py,148
POST,/dialogs/progress/{dialog_id},server/api/routers/dialogs.py,170
POST,/dialogs/progress/{dialog_id}/complete,server/api/routers/dialogs.py,186
GET,/dialogs/stats,server/api/routers/dialogs.py,223
GET,/dialogs/{dialog_id},server/api/routers/dialogs.py,53
POST,/dialogs/{dialog_id}/action,server/api/routers/dialogs.py,66
POST,/dialogs/{dialog_id}/close,server/api/routers/dialogs.py,81
POST,/dialogs/{dialog_id}/dismiss,server/api/routers/dialogs.py,95
GET,/example,server/api/deps.py,16
POST,/export,server/api/routers/export.py,15
GET,/export/presets,server/api/routers/export.py,144
POST,/export/presets,server/api/routers/export.py,136
POST,/faces/cluster,server/api/routers/faces_legacy.py,11
GET,/faces/clusters,server/api/routers/faces_legacy.py,34
DELETE,/faces/clusters/{cluster_id},server/api/routers/faces_legacy.py,112
GET,/faces/clusters/{cluster_id},server/api/routers/faces_legacy.py,54
PUT,/faces/clusters/{cluster_id}/label,server/api/routers/faces_legacy.py,92
GET,/faces/image/{image_path:path},server/api/routers/faces_legacy.py,73
GET,/faces/stats,server/api/routers/faces_legacy.py,131
DELETE,/favorites,server/api/routers/favorites.py,58
GET,/favorites,server/api/routers/favorites.py,30
GET,/favorites/check,server/api/routers/favorites.py,43
POST,/favorites/toggle,server/api/routers/favorites.py,9
GET,/file,server/api/routers/file.py,17
GET,/image/thumbnail,server/api/routers/images.py,23
POST,/image/token,server/api/routers/images.py,230
POST,/index,server/api/routers/indexing.py,97
GET,/intent/all,server/api/routers/intent.py,110
GET,/intent/badges,server/api/routers/intent.py,91
GET,/intent/detect,server/api/routers/intent.py,37
GET,/intent/suggestions,server/api/routers/intent.py,71
GET,/jobs/{job_id},server/api/routers/indexing.py,88
POST,/library/remove,server/api/routers/trash.py,258
POST,/locations-legacy,server/api/routers/locations.py,18
GET,/locations-legacy/photo/{photo_path:path},server/api/routers/locations.py,43
PUT,/locations-legacy/photo/{photo_path:path},server/api/routers/locations.py,61
GET,/locations-legacy/stats,server/api/routers/locations.py,120
POST,/locations/clusterize,server/api/routers/locations.py,235
GET,/locations/clusters,server/api/routers/locations.py,109
GET,/locations/clusters/{cluster_id}/photos,server/api/routers/locations.py,204
POST,/locations/correct-bulk,server/api/routers/locations.py,269
POST,/locations/correct/{photo_path:path},server/api/routers/locations.py,131
GET,/locations/nearby,server/api/routers/locations.py,94
GET,/locations/photo/{photo_path:path},server/api/routers/locations.py,153
GET,/locations/photo/{photo_path:path}/cluster,server/api/routers/locations.py,220
GET,/locations/places/{place_name},server/api/routers/locations.py,83
GET,/locations/stats,server/api/routers/locations.py,257
GET,/oauth/google/callback,server/api/routers/sources.py,917
DELETE,/ocr/all,server/api/routers/ocr.py,105
POST,/ocr/extract,server/api/routers/ocr.py,11
DELETE,/ocr/image/{image_path:path},server/api/routers/ocr.py,86
GET,/ocr/image/{image_path:path},server/api/routers/ocr.py,67
GET,/ocr/search,server/api/routers/ocr.py,30
GET,/ocr/stats,server/api/routers/ocr.py,51
GET,/photos/by-tags,server/api/routers/tag_filters.py,384
GET,/photos/by-tags/legacy2,server/api/routers/tag_filters.py,159
POST,/photos/flip,server/api/routers/transforms.py,65
POST,/photos/rotate,server/api/routers/transforms.py,11
GET,/photos/{path:path}/albums,server/api/routers/albums.py,180
GET,/photos/{path:path}/tags,server/api/routers/tags.py,82
GET,/pricing,server/api/routers/pricing.py,13
GET,/pricing/recommend,server/api/routers/pricing.py,32
GET,/pricing/{tier_name},server/api/routers/pricing.py,21
GET,/privacy/access/{user_id},server/api/routers/privacy.py,86
GET,/privacy/check-access/{photo_path:path}/{user_id},server/api/routers/privacy.py,97
GET,/privacy/control/{photo_path:path},server/api/routers/privacy.py,36
POST,/privacy/control/{photo_path:path},server/api/routers/privacy.py,11
PUT,/privacy/control/{photo_path:path},server/api/routers/privacy.py,51
GET,/privacy/encrypted/{owner_id},server/api/routers/privacy.py,108
DELETE,/privacy/revoke-access/{photo_path:path}/{user_id},server/api/routers/privacy.py,130
GET,/privacy/stats/{owner_id},server/api/routers/privacy.py,119
GET,/privacy/visible/{visibility}/{owner_id},server/api/routers/privacy.py,75
POST,/scan,server/api/routers/indexing.py,20
GET,/search,server/api/routers/search.py,22
POST,/search/intent,server/api/routers/advanced_intent_search.py,15
POST,/search/refine,server/api/routers/advanced_intent_search.py,115
GET,/search/semantic,server/api/routers/semantic_search.py,111
GET,/searches,server/api/routers/saved_searches.py,34
GET,/searches/analytics,server/api/routers/saved_searches.py,137
GET,/searches/analytics/detailed,server/api/routers/saved_searches.py,146
GET,/searches/analytics/export,server/api/routers/saved_searches.py,164
GET,/searches/analytics/trends,server/api/routers/saved_searches.py,155
GET,/searches/history,server/api/routers/saved_searches.py,186
POST,/searches/history/clear,server/api/routers/saved_searches.py,226
GET,/searches/performance,server/api/routers/saved_searches.py,217
GET,/searches/recurring,server/api/routers/saved_searches.py,207
POST,/searches/save,server/api/routers/saved_searches.py,16
DELETE,/searches/{search_id},server/api/routers/saved_searches.py,125
GET,/searches/{search_id},server/api/routers/saved_searches.py,57
PUT,/searches/{search_id},server/api/routers/saved_searches.py,104
POST,/searches/{search_id}/execute,server/api/routers/saved_searches.py,69
GET,/server/config,server/api/routers/core.py,14
POST,/share,server/api/routers/share.py,18
GET,/shared/{share_id},server/api/routers/share.py,76
GET,/shared/{share_id}/download,server/api/routers/share.py,122
GET,/sources,server/api/routers/sources.py,45
POST,/sources/google-drive,server/api/routers/sources.py,890
POST,/sources/local-folder,server/api/routers/sources.py,487
POST,/sources/s3,server/api/routers/sources.py,544
DELETE,/sources/{source_id},server/api/routers/sources.py,67
POST,/sources/{source_id}/rescan,server/api/routers/sources.py,78
POST,/sources/{source_id}/sync,server/api/routers/sources.py,1020
GET,/stats,server/api/routers/stats.py,9
POST,/stories,server/api/routers/stories.py,20
GET,/stories/owner/{owner_id},server/api/routers/stories.py,57
GET,/stories/user/{user_id}/stats,server/api/routers/stories.py,262
GET,/stories/{story_id},server/api/routers/stories.py,42
PUT,/stories/{story_id},server/api/routers/stories.py,73
POST,/stories/{story_id}/photos,server/api/routers/stories.py,123
POST,/stories/{story_id}/publish,server/api/routers/stories.py,273
GET,/stories/{story_id}/stats,server/api/routers/stories.py,218
GET,/stories/{story_id}/timeline,server/api/routers/stories.py,145
GET,/tag-filters,server/api/routers/tag_filters.py,281
POST,/tag-filters,server/api/routers/tag_filters.py,246
POST,/tag-filters/apply,server/api/routers/tag_filters.py,360
GET,/tag-filters/legacy2,server/api/routers/tag_filters.py,56
POST,/tag-filters/legacy2,server/api/routers/tag_filters.py,21
POST,/tag-filters/legacy2/apply,server/api/routers/tag_filters.py,135
DELETE,/tag-filters/legacy2/{filter_id},server/api/routers/tag_filters.py,120
GET,/tag-filters/legacy2/{filter_id},server/api/routers/tag_filters.py,41
PUT,/tag-filters/legacy2/{filter_id},server/api/routers/tag_filters.py,76
DELETE,/tag-filters/{filter_id},server/api/routers/tag_filters.py,345
GET,/tag-filters/{filter_id},server/api/routers/tag_filters.py,266
PUT,/tag-filters/{filter_id},server/api/routers/tag_filters.py,301
GET,/tags,server/api/routers/tags.py,15
POST,/tags,server/api/routers/tags.py,22
GET,/tags/common,server/api/routers/tag_filters.py,201
GET,/tags/common/legacy2,server/api/routers/tag_filters.py,426
GET,/tags/search,server/api/routers/tag_filters.py,222
GET,/tags/search/legacy2,server/api/routers/tag_filters.py,451
GET,/tags/stats,server/api/routers/tag_filters.py,234
GET,/tags/stats/legacy2,server/api/routers/tag_filters.py,463
DELETE,/tags/{tag_name},server/api/routers/tags.py,34
GET,/tags/{tag_name},server/api/routers/tags.py,43
DELETE,/tags/{tag_name}/photos,server/api/routers/tags.py,75
POST,/tags/{tag_name}/photos,server/api/routers/tags.py,68
GET,/tauri/checklist,server/api/routers/tauri.py,127
GET,/tauri/commands,server/api/routers/tauri.py,9
GET,/tauri/commands/{command_name},server/api/routers/tauri.py,25
GET,/tauri/config,server/api/routers/tauri.py,79
GET,/tauri/frontend-hooks,server/api/routers/tauri.py,63
GET,/tauri/performance,server/api/routers/tauri.py,111
GET,/tauri/rust-skeleton,server/api/routers/tauri.py,47
GET,/tauri/security,server/api/routers/tauri.py,95
GET,/tauri/setup-guide,server/api/routers/tauri.py,143
GET,/timeline,server/api/routers/stats.py,23
DELETE,/timeline/entries/{entry_id},server/api/routers/stories.py,202
PUT,/timeline/entries/{entry_id},server/api/routers/stories.py,160
GET,/trash,server/api/routers/trash.py,148
POST,/trash/empty,server/api/routers/trash.py,213
POST,/trash/move,server/api/routers/trash.py,72
POST,/trash/restore,server/api/routers/trash.py,168
GET,/usage/check/{user_id},server/api/routers/pricing.py,63
GET,/usage/company-analytics,server/api/routers/pricing.py,153
GET,/usage/growth/{user_id},server/api/routers/pricing.py,119
GET,/usage/history/{user_id},server/api/routers/pricing.py,96
GET,/usage/tier-averages,server/api/routers/pricing.py,138
POST,/usage/upgrade/{user_id},server/api/routers/pricing.py,79
GET,/usage/{user_id},server/api/routers/pricing.py,43
POST,/versions,server/api/routers/versions.py,114
POST,/versions-legacy,server/api/routers/versions.py,16
GET,/versions-legacy/original/{original_path:path},server/api/routers/versions.py,40
GET,/versions-legacy/stack/{version_path:path},server/api/routers/versions.py,52
GET,/versions-legacy/stats,server/api/routers/versions.py,103
DELETE,/versions-legacy/{version_id},server/api/routers/versions.py,86
PUT,/versions-legacy/{version_path:path},server/api/routers/versions.py,64
POST,/versions/merge-stacks,server/api/routers/versions.py,244
GET,/versions/photo/{photo_path:path},server/api/routers/versions.py,138
GET,/versions/stack/{original_path:path},server/api/routers/versions.py,159
GET,/versions/stacks,server/api/routers/versions.py,218
GET,/versions/stats,server/api/routers/versions.py,233
DELETE,/versions/{version_id},server/api/routers/versions.py,203
PUT,/versions/{version_path:path},server/api/routers/versions.py,183
GET,/video,server/api/routers/video.py,16
DELETE,/video/analysis/{video_path:path},server/api/routers/video_analysis.py,336
GET,/video/analysis/{video_path:path},server/api/routers/video_analysis.py,64
POST,/video/analyze,server/api/routers/video_analysis.py,16
POST,/video/batch-analyze,server/api/routers/video_analysis.py,391
GET,/video/keyframes/{video_path:path},server/api/routers/video_analysis.py,132
GET,/video/ocr/{video_path:path},server/api/routers/video_analysis.py,198
GET,/video/scenes/{video_path:path},server/api/routers/video_analysis.py,169
POST,/video/search,server/api/routers/video_analysis.py,93
GET,/video/stats,server/api/routers/video_analysis.py,237
GET,/video/thumbnail/{video_path:path},server/api/routers/video_analysis.py,259
